broker->num.network.threads,broker->num.io.threads,broker->queued.max.requests,broker->socket.receive.buffer.bytes,broker->socket.send.buffer.bytes,broker->socket.request.max.bytes,producer->buffer.memory,producer->compression.type,producer->batch.size,producer->linger.ms
16,24,5000,185237,67780,12363096,2216976,snappy,262143,100
16,24,5000,185276,67738,12358225,2218012,snappy,262143,100
16,24,5000,184683,67634,12366183,2217177,snappy,262143,100
16,24,5000,184915,67752,12369028,2216109,snappy,262143,100
16,24,5000,184751,67590,12358066,2215693,snappy,262143,100
16,24,5000,184345,67672,12366528,2215993,snappy,262143,100
16,24,5000,185263,68050,12359946,2216992,snappy,262143,100
16,24,5000,185187,67901,12360346,2215751,snappy,262143,100
16,24,5000,184682,67656,12359671,2217448,snappy,262143,100
16,24,5000,184823,67530,12369106,2216124,snappy,262143,100
16,24,5000,184698,67875,12365570,2218581,snappy,262143,100
16,24,5000,184935,67819,12362315,2217568,snappy,262143,100
16,24,5000,184805,67954,12358732,2218328,snappy,262143,100
16,24,5000,185158,67825,12361484,2218233,snappy,262143,100
16,24,5000,185011,67568,12363631,2217318,snappy,262143,100
16,24,5000,184708,67501,12362445,2216055,snappy,262143,100
16,24,5000,184559,67809,12363669,2215574,snappy,262143,100
16,24,5000,184877,67700,12368715,2217776,snappy,262143,100
16,24,5000,184400,68036,12360840,2218550,snappy,262143,100
16,24,5000,185284,67699,12366774,2216486,snappy,262143,100
16,24,5000,184653,67605,12367154,2216233,snappy,262143,100
16,24,5000,184862,67726,12367614,2215873,snappy,262143,100
16,24,5000,184583,67496,12367780,2217978,snappy,262143,100
16,24,5000,184221,67866,12362210,2217108,snappy,262143,100
16,24,5000,184198,67712,12362757,2218275,snappy,262143,100
16,24,5000,185040,68007,12368026,2217120,snappy,262143,100
16,24,5000,184563,67846,12362639,2217825,snappy,262143,100
16,24,5000,184213,68077,12366053,2215602,snappy,262143,100
16,24,5000,184723,67959,12357612,2216812,snappy,262143,100
16,24,5000,184425,67591,12370324,2216341,snappy,262143,100
16,24,5000,184826,67971,12366621,2218508,snappy,262143,100
16,24,5000,185027,67645,12364934,2216572,snappy,262143,100
16,24,5000,184993,67561,12361375,2218157,snappy,262143,100
16,24,5000,184639,68053,12365439,2218107,snappy,262143,100
16,24,5000,184258,68021,12362097,2218362,snappy,262143,100
16,24,5000,184956,67853,12359245,2217200,snappy,262143,100
16,24,5000,184598,67979,12367057,2216742,snappy,262143,100
16,24,5000,184314,67684,12364512,2216861,snappy,262143,100
16,24,5000,185085,67666,12359464,2217476,snappy,262143,100
16,24,5000,184394,68063,12361062,2216699,snappy,262143,100
16,24,5000,184242,67648,12358786,2216467,snappy,262143,100
16,24,5000,184339,67621,12362575,2218291,snappy,262143,100
16,24,5000,184187,67784,12365598,2217613,snappy,262143,100
