index,producer->batch_size,producer->linger_ms,broker->num.network.threads,broker->num.io.threads,broker->queued.max.requests,broker->num.partitions,broker->num.replica.fetchers,consumer->fetch_wait_max_ms,consumer->fetch_min_bytes,consumer->batch_interval,topic->partitions,gc_collection_count,gc_collection_time,memory_heap_usage_used,memory_non_heap_usage_used,network_request_FetchConsumer_TotalTimeMs,network_request_FetchFollower_TotalTimeMs,network_request_Fetch_MessageConversionsTimeMs,network_request_Produce_TotalTimeMs,network_socket_FetchConsumer_NetworkProcessorAvgIdlePercent,network_socket_FetchConsumer_RequestHandlerAvgIdlePercent,os_open_fd_count,os_process_cpu_time,server_broker_topics_TotalFetchRequestsPerSec,server_broker_topics_TotalProduceRequestsPerSec,server_broker_topics_AllTopicsBytesIn,server_broker_topics_AllTopicsBytesOut,server_replica_fetcher_MinFetchRate,server_replica_manager_LeaderCount,server_replica_manager_PartitionCount,threading_daemon_thread_count,threading_peak_thread_count,threading_thread_count,latency_min,latency_max,latency_median,latency_mean,latency_std,latency_25th,latency_50th,latency_75th,latency_90th,latency_95th,latency_99th
0,106849,93,9,10,2447,8,6,551,93162,3,14,50796753243711.8,46101488123442.31,429.78,58.03,1.78,34.6,36.38,8.66,0.93,0.92,179.21,239134448.57,11943.14,46.77,0.61,0.72,8.26,5.0,14.0,35.29,66.86,66.86,0.21,6.21,2.29,2.31,0.99,1.54,2.29,3.03,3.55,3.86,4.98
1,163533,22,8,16,3920,1,2,127,190437,8,9,65694262583651.76,64585341059768.76,301.65,64.34,0.97,132.39,133.3,33.16,0.96,0.99,197.0,325977588.72,22919.24,99.35,0.5,0.79,28.85,3.0,9.0,45.0,81.0,81.0,0.44,10.6,4.98,5.05,2.28,3.15,4.98,6.96,8.16,8.68,9.38
2,136265,0,1,3,4870,2,9,289,67788,8,8,54638047152845.59,46961122333876.45,506.25,52.32,0.7,1104.95,1105.86,365.57,0.85,0.95,169.0,559099466.25,17960.7,554.48,0.3,0.51,142.51,3.0,8.0,31.0,58.0,58.0,0.26,9.52,5.24,5.1,2.18,3.36,5.24,6.96,7.94,8.3,8.82
3,144727,32,7,13,113,2,9,298,11219,4,5,58168462693567.37,62313903843792.06,282.74,63.78,0.5,45.91,46.41,23.01,0.96,0.99,188.0,277721805.56,2089.34,23.0,0.32,0.35,19.47,1.0,5.0,42.0,78.0,78.0,0.44,5.17,2.66,2.66,1.1,1.75,2.66,3.58,4.13,4.4,4.77
4,44801,12,19,11,4920,3,1,130,218544,8,4,58448961624109.98,62496446100784.5,193.95,68.48,0.72,92.65,93.33,46.41,1.0,0.99,215.0,301167941.47,19.14,46.48,0.38,0.61,37.1,1.0,4.0,40.0,85.0,85.0,0.87,9.3,4.95,5.01,2.14,3.2,4.95,6.83,7.94,8.39,8.94
5,69016,45,13,11,3549,1,5,81,140328,9,14,61020599275367.99,56464812331279.29,464.63,63.38,1.53,182.8,184.35,18.28,1.0,0.99,231.0,312121325.11,13925.31,91.3,0.55,0.95,16.22,5.0,14.0,39.0,82.0,82.0,0.38,11.82,5.69,5.77,2.59,3.63,5.69,7.92,9.31,9.91,10.74
6,101109,91,2,14,3158,7,8,334,203947,7,12,63571951398392.91,60516403767909.3,189.46,56.92,1.33,75.76,77.13,9.47,0.98,0.99,190.0,300560207.03,0.0,37.82,0.58,0.81,8.7,4.0,12.0,42.0,73.0,73.0,0.42,9.64,4.59,4.62,2.02,2.96,4.59,6.29,7.35,7.84,8.51
7,243088,58,12,12,4675,3,6,230,133945,6,5,56442068731521.7,43676796313825.25,419.9,55.06,1.03,52.85,53.85,13.22,1.0,1.0,201.0,245285026.84,6.9,26.38,0.72,0.93,11.62,2.0,5.0,41.0,81.0,81.0,0.64,7.71,3.96,3.99,1.63,2.64,3.96,5.34,6.17,6.58,7.17
8,86574,80,9,12,2403,4,6,451,21499,7,5,63658864102094.83,60592148379540.83,394.56,61.37,1.02,39.25,40.28,9.81,0.96,0.99,180.0,213645066.32,4720.87,19.63,0.74,1.02,9.16,2.0,5.0,40.0,73.0,73.0,0.81,8.9,4.7,4.7,1.9,3.14,4.7,6.28,7.21,7.69,8.36
9,238055,76,21,14,4010,8,7,738,56459,1,9,61227650921333.84,52119811137534.96,195.3,67.83,2.01,65.7,67.71,10.96,1.0,0.99,234.07,317953202.5,9902.75,32.83,0.57,0.72,9.98,3.0,9.0,42.0,90.0,90.0,0.31,4.8,1.49,1.53,0.6,1.09,1.49,1.88,2.23,2.5,3.49
10,24597,40,10,21,1328,2,7,733,39714,3,9,56869823230994.06,57182439872453.01,268.58,59.46,1.11,118.77,119.87,19.83,0.99,1.0,201.06,298929730.92,0.0,59.48,0.52,0.62,17.72,3.0,9.0,49.0,86.0,86.0,0.26,4.73,2.1,2.11,0.88,1.38,2.1,2.83,3.28,3.49,3.82
11,109459,49,19,8,249,5,5,535,83645,7,4,59393632041252.63,63924127671245.91,199.33,58.23,0.79,29.34,30.25,14.74,1.0,0.99,207.0,241620487.12,0.0,14.72,0.45,0.69,13.58,1.0,4.0,36.0,80.0,80.0,0.92,8.3,4.6,4.61,1.85,3.06,4.6,6.18,7.09,7.55,8.01
12,73895,76,6,17,505,2,7,406,223431,4,13,60894504397051.83,61926881254135.69,293.27,65.32,1.15,90.15,91.3,11.27,0.96,1.0,219.0,293003933.77,8289.14,45.15,0.52,0.62,10.17,4.0,13.0,46.0,86.0,86.0,0.24,7.51,2.85,2.86,1.24,1.84,2.85,3.84,4.47,4.8,5.67
13,189080,18,9,21,4464,1,9,113,249621,5,7,56092924143259.11,60613995136529.48,342.99,69.69,0.79,150.73,151.46,37.83,1.0,1.0,202.0,326823229.79,28.49,75.56,0.42,0.48,31.51,2.0,7.0,50.0,89.0,89.0,0.38,6.45,3.26,3.25,1.4,2.09,3.26,4.41,5.13,5.44,5.88
14,106484,90,10,22,518,7,1,336,52485,1,6,47072763402664.56,48196278027671.64,358.66,54.45,1.42,18.12,19.53,9.06,0.97,1.0,190.12,203551513.08,4196.75,18.11,0.6,0.76,8.28,2.0,6.0,51.0,88.0,88.0,0.3,4.33,1.45,1.5,0.57,1.08,1.45,1.83,2.18,2.47,3.34
15,156766,0,13,2,3682,5,4,991,116112,5,3,56989183215289.5,61646998791634.25,322.17,60.99,0.4,735.04,735.4,370.39,0.99,0.94,196.13,489618972.1,28517.35,370.47,0.28,0.29,285.26,1.0,3.0,31.0,71.0,71.0,0.43,7.99,3.43,3.26,1.51,1.99,3.43,4.52,5.07,5.31,6.62
16,19406,84,11,4,1497,9,2,189,207779,7,4,60965964207683.75,59223636979966.96,394.7,67.07,0.77,42.88,43.65,21.5,0.96,0.99,195.0,284793816.86,3.45,21.46,0.4,0.62,19.78,1.0,4.0,33.0,72.0,72.0,0.8,8.18,4.42,4.46,1.88,2.87,4.42,6.08,7.02,7.42,7.9
